Date,Close,High,Low,Open,Volume
2016-06-09,540.27783203125,542.5145872218757,537.0624360049507,541.7224137577051,2324092
2016-06-10,541.1865844726562,546.4756486224209,538.7866842003967,539.811913587368,3161156
2016-06-13,537.2488403320312,542.8640793290214,536.3867558345548,538.1109248295077,1661618
2016-06-14,536.7595825195312,539.1594826914711,533.2180104319065,538.2274870429119,1914384
2016-06-15,545.0076904296875,545.6367760143237,537.3885817212904,538.2274004237992,1522912
2016-06-16,541.5593872070312,544.6815499009459,538.3905792227145,543.6097890272068,2363884
2016-06-17,545.2173461914062,548.9453280457064,543.1436790387473,543.8193529960437,1880826
2016-06-20,546.1727905273438,549.5279522178666,539.9983191541093,540.0914959682065,1371382
2016-06-21,543.6563110351562,547.7570572901736,541.1165890519444,547.5473810469744,1335484
2016-06-22,545.9163208007812,547.5473127963448,543.3533333791813,543.3533333791813,1901920
2016-06-23,554.5839233398438,555.3994194206389,544.0523853304735,545.1242029333155,1963366
2016-06-24,541.4428100585938,546.1027876701067,534.4994320405409,540.4874918944366,5586982
2016-06-27,540.5341186523438,544.7514214438384,537.3187793798189,541.4894368842945,2081894
2016-06-28,543.7960815429688,546.6619792401256,535.8974419994698,541.1399169755516,2017490
2016-06-29,548.8936767578125,549.4574408450613,544.8531571774613,547.343239490805,2710334
2016-06-30,552.7227172851562,554.3906102820675,546.0042892154507,550.1622073222891,8139446
2016-07-01,551.806640625,556.7397778975096,550.5381425526255,554.3906649106002,2152438
2016-07-04,551.0078735351562,554.1556614736826,550.3501105379081,553.5448692580846,3624926
2016-07-05,547.6251831054688,551.7126739274285,545.9338333021769,551.0079400634411,1068164
2016-07-07,557.045166015625,558.5016045762081,545.4170568982655,548.7058150324682,2416308
2016-07-08,551.9710083007812,557.0216006849485,550.2796586005464,556.7866894112663,1559434
2016-07-11,563.6695556640625,564.679685529569,554.8838976786568,557.2094961596817,2551266
2016-07-12,564.797119140625,568.4382434466145,561.696302169671,568.4382434466145,3523016
2016-07-13,562.7299194335938,564.7031510633782,560.6392321746226,563.6930785334774,3343536
2016-07-14,563.9514770507812,564.797180567282,560.1224118616335,564.2568731734834,1729834
2016-07-15,574.9218139648438,576.0024287374496,561.4849009148178,565.5723913860198,2887108
2016-07-18,576.6837158203125,581.8752783863587,574.4286017965449,575.5326734140406,2219242
2016-07-19,572.4083251953125,578.2341366201626,570.2941235988951,577.4119471104448,1293002
2016-07-20,578.9153442382812,581.8752493515572,574.0057213526565,574.5929995615296,2345166
2016-07-21,577.2239379882812,582.5329554175869,574.3580320796734,578.2105538123749,4556452
2016-07-22,578.257568359375,580.0663735529455,573.8881960749853,579.4555813492763,2810136
2016-07-25,585.84521484375,587.0197712369179,576.4722777668244,579.2912131104274,4936442
2016-07-26,582.0162963867188,585.234569928634,580.3014323187012,583.7076463827024,2832996
2016-07-27,581.1469116210938,586.1270759438099,577.8816682249271,583.0497156643371,5367368
2016-07-28,586.5499267578125,587.8654528095484,580.4892618766876,581.6403041584183,5323264
2016-07-29,585.4927368164062,587.2780851357692,580.2307481141399,586.3384401995519,1697838
2016-08-01,583.66064453125,591.4831450153339,576.7777319048066,586.8084330409529,2780432
2016-08-02,584.13037109375,590.3084914462274,582.7678742943942,585.8686915040912,2664698
2016-08-03,582.7913208007812,587.2546347316472,578.3515209364199,583.0967169084327,2366938
2016-08-04,583.0498046875,585.727770374438,579.573106227144,585.6807995880928,2331440
2016-08-05,586.92578125,589.9326568387474,583.4021123611667,586.0566210610308,2892456
2016-08-08,587.0902099609375,589.6272630411119,584.7176406439917,588.6406472186502,2364388
2016-08-09,585.9625854492188,588.6406080478436,581.4992718028886,588.6406080478436,2105428
2016-08-10,576.4252319335938,587.7244285539367,573.0659896162133,584.9290076427019,1809860
2016-08-11,577.0594482421875,580.2307499117456,574.1230578074114,576.3782286018698,1428036
2016-08-12,577.2708740234375,580.2307786689398,572.9015592507658,578.3750027627362,2320748
2016-08-16,576.6132202148438,581.8516955996117,570.2706159915871,579.2911857241098,1734284
2016-08-17,580.183837890625,581.4053649649214,576.0024060177727,579.4791041149099,2755518
2016-08-18,588.452880859375,589.5804667121398,580.0195870642652,581.640452298528,3055828
2016-08-19,585.9157104492188,587.2782073605728,583.2612014816715,587.2782073605728,2055318
2016-08-22,587.419189453125,589.3689072615504,583.0498165577052,584.9526209302177,2750646
2016-08-23,587.95947265625,589.1575432325668,585.4224764851658,587.7480754257903,2657262
2016-08-24,592.8220825195312,593.949610693735,585.8922003046082,588.2413129198363,2785468
2016-08-25,591.2950439453125,595.1710790041416,589.2982986119763,593.8555532557481,4364944
2016-08-26,590.6139526367188,592.8691239566504,589.110543324357,591.9764495862029,1260568
2016-08-29,581.687255859375,589.8621792523846,580.794581592938,589.8621792523846,1472092
2016-08-30,596.0403442382812,596.9095044194619,584.4356937242171,584.9760010859395,4933804
2016-08-31,606.6348266601562,608.4201752113682,594.5604106023062,596.2047894542288,5580682
2016-09-01,603.1112060546875,606.0711111660535,599.2117131611183,605.1314660324628,2612338
2016-09-02,603.7688598632812,605.6011790124928,601.9130840008071,603.9568003262681,1977594
2016-09-06,610.957275390625,612.6016543691863,606.0946233100138,606.0946233100138,2754442
2016-09-07,604.544189453125,613.1184513202472,602.829325609423,611.2391610480013,2008222
2016-09-08,605.7891235351562,608.5375736017038,603.0641301820286,606.071005555837,1452690
2016-09-09,606.2589721679688,608.1852329689734,600.5741313254409,606.0710316956166,2006884
2016-09-12,601.3258666992188,603.440068080991,597.3793459829674,598.8827551361189,1992864
2016-09-14,596.4161987304688,599.9633818377216,594.5134518598248,599.0237367604502,1924754
2016-09-15,601.1848754882812,603.2051352324612,596.6041059916839,597.6142358637738,1750906
2016-09-16,609.7592163085938,612.8835478965503,603.1582435535039,603.1582435535039,3262908
2016-09-19,606.1416015625,611.9438988451883,605.1314715643781,609.3598747041914,2947416
2016-09-20,605.3428344726562,608.4201950794421,603.2756611581274,607.3161235702313,1889124
2016-09-21,607.4805297851562,609.829642429337,605.0844463583684,607.0107072563201,2128200
2016-09-22,614.0110473632812,618.7327291592973,611.0276859068448,613.1183731275322,3277900
2016-09-23,616.736083984375,619.4375638463529,611.4740939763827,613.6118096772863,2438404
2016-09-26,608.96044921875,614.9506861367711,607.8093496746553,613.6351601867714,2788386
2016-09-27,609.8531494140625,613.6587003831647,608.3496829284169,610.2994578707207,2028406
2016-09-28,608.5376586914062,610.7693158068544,605.6012677500271,610.7223450220694,2494826
2016-09-29,600.1983032226562,613.5882457994435,595.711474962512,609.8061513591302,8225006
2016-09-30,598.0136108398438,601.8426760256625,595.4531009276733,600.0103566424269,2069214
2016-10-03,604.7554931640625,606.0240483125237,599.6814446243538,601.8426166330102,1950274
2016-10-04,605.8596801757812,608.4201900815165,602.453466756406,605.4133143513774,1387756
2016-10-05,604.23876953125,610.7928285085779,599.6815137409786,609.829669341406,1823510
2016-10-06,602.2890014648438,608.7020908111175,600.9265619364003,604.7085990934639,1447856
2016-10-07,601.6547241210938,605.01396670138,599.6110075733925,603.2521322031232,1668732
2016-10-10,603.4166259765625,605.0845190949799,600.7856309690873,603.7220221272939,2359656
2016-10-13,593.2684936523438,600.903110973152,590.3085883043351,600.903110973152,2259678
2016-10-14,592.8220825195312,595.7349592218613,589.1574438992225,594.6778585450086,2033558
2016-10-17,581.4993286132812,594.9832697782482,579.1737300056474,594.5604180264828,2567680
2016-10-18,590.9662475585938,591.9763774507106,582.1101044931988,584.0833361441483,1305484
2016-10-19,591.201171875,593.3858581198272,586.3385201374064,592.4931838384439,1522452
2016-10-20,589.8621826171875,595.4765388739863,587.7479812457997,592.093839620319,1600178
